intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3360000,0.000372456,0.248265227,0.000356937,0.000356937,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_022095675.1 Dactylosporangium sp. AC04546 strain=AC04546, ASM2209567v1",591a0e5305f27da25055b05f543d6a65,0.259059368,3220000,13,8966170000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.686622223,0.937705867,0.812164045,0.937705867,FALSE,,5503,902120
3250000,0.000360262,0.656378601,0.000353611,0.000353611,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_001428505.1 Terrabacter sp. Root181 strain=Root181, Root181",14bb0e7a6097b570910b36c794adf6e4,0.66872428,3190000,14,8962980000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.685534757,0.981021291,0.833278024,0.981021291,FALSE,,5822,902120
3100000,0.000343635,0.930930931,0.000343635,0.000343635,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_014131735.1 Lactiplantibacillus plantarum strain=DSM 20174, ASM1413173v1",ed51edaecc53ab202ea416aa96c84b8f,0.930930931,3100000,15,8959880000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.683993944,0.996597697,0.84029582,0.996597697,FALSE,,6132,902120
3090000,0.000342526,0.380124224,0.000339201,0.000339201,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_017488845.2 Ensifer sp. T173 strain=T173, ASM1748884v2",a687bc6796b8e70ae4298d304c5fc23c,0.383850932,3060000,16,8956820000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.683888714,0.95542856,0.819658637,0.95542856,FALSE,,6438,902120
3100000,0.000343635,0.203616879,0.000336984,0.000336984,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000418325.1 Sorangium cellulosum So0157-2 strain=So0157-2, ASM41832v1",ac0d390ca2c0a121f31aa4e295643d97,0.207635633,3040000,17,8953780000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.683993944,0.927877334,0.805935639,0.927877334,FALSE,,6742,902120
3210000,0.000355828,0.208011244,0.000328116,0.000328116,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_016863635.1 Virgisporangium aurantiacum strain=NBRC 16421, ASM1686363v1",58ce02dc6e57fb5c9b5e9e153d83b736,0.225579761,2960000,18,8950820000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.685130604,0.931546993,0.808338799,0.931546993,FALSE,,7038,902120
3850000,0.000426772,0.472222222,0.000320356,0.000320356,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",018f0ce73f4369161b26e9bee03b9af2,0.629084967,2890000,19,8947930000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.691087699,0.978170878,0.834629288,0.978170878,FALSE,,7327,902120
3030000,0.000335875,0.291581109,0.000314814,0.000314814,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_016794525.1 Myxococcales bacterium, ASM1679452v1",5f09861fc1519b038e37211f4e7c0c22,0.311088296,2840000,20,8945090000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.68325044,0.945913891,0.814582166,0.945913891,FALSE,,7611,902120
2880000,0.000319248,0.425981873,0.000312597,0.000312597,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_001571325.1 Delftia tsuruhatensis NBRC 16741 strain=NBRC 16741, ASM157132v1",cfb309defbd7468d6f83197867503260,0.435045317,2820000,21,8942270000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.68160052,0.961141561,0.821371041,0.961141561,FALSE,,7893,902120
3310000,0.000366913,0.193525686,0.000304837,0.000304837,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_024172165.1 Nonomuraea thailandensis strain=DSM 46694, ASM2417216v1",4e42cc125016c7c3d296de5e92621ccb,0.232934553,2750000,22,8939520000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.686132189,0.932971295,0.809551742,0.932971295,FALSE,,8168,902120
2740000,0.000303729,1,0.000303729,0.000303729,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_018314255.1 Lentilactobacillus buchneri strain=ATCC 4005, ASM1831425v1",c05c65d11ccd0a7837b7b6d36c009678,1,2740000,23,8936780000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.67998502,1,0.83999251,1,FALSE,,8442,902120
2880000,0.000319248,0.553752535,0.00030262,0.00030262,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",b3565c6b12b00a9c387383de37799ad4,0.584178499,2730000,24,8934050000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.68160052,0.974727283,0.828163902,0.974727283,FALSE,,8715,902120
2760000,0.000305946,0.305369128,0.00030262,0.00030262,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_018596315.1 Bradyrhizobium sp. SRL28 strain=SRL28, ASM1859631v1",4c4bc4373d46a2f785f5450af9a07085,0.308724832,2730000,25,8931320000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.680220554,0.945570433,0.812895494,0.945570433,FALSE,,8988,902120
2750000,0.000304837,0.587473002,0.000301512,0.000301512,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_001654845.1 Enterobacter soli ATCC BAA-2102 strain=ATCC BAA-2102, EsoBAA2102_DRAFTv1",465aa63b72b49508afaa99b32e2aeef6,0.593952484,2720000,26,8928600000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.680102991,0.975497749,0.82780037,0.975497749,FALSE,,9260,902120
3100000,0.000343635,0.291262136,0.000299295,0.000299295,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_003610235.1 Catellatospora citrea strain=DSM 44097, ASM361023v1",b3d76aaeaa5910dc9d2299a94c4836b0,0.334412082,2700000,27,8925900000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.683993944,0.949176025,0.816584984,0.949176025,FALSE,,9530,902120
2830000,0.000313705,0.256385069,0.000289318,0.000289318,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_023954375.1 Planctomycetes bacterium, ASM2395437v1",5f305649791136808d6bc30968e94b92,0.277996071,2610000,28,8923290000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.681032316,0.940861398,0.810946857,0.940861398,FALSE,,9791,902120
2550000,0.000282667,0.992217899,0.000282667,0.000282667,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_003030305.1 Cutibacterium acnes strain=ATCC 6919, ASM303030v1",2f2a41c6d7eb92f215f9865c53b5510f,0.992217899,2550000,29,8920740000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.677662005,0.999628043,0.838645024,0.999628043,FALSE,,10046,902120
2900000,0.000321465,0.234141791,0.000278233,0.000278233,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_008923365.1 Actinomadura montaniterrae strain=CYP1-1B, ASM892336v1",1e4a24ae74a69f2f9ca7ed138b0d2e8a,0.270522388,2510000,30,8918230000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.681825175,0.939641215,0.810733195,0.939641215,FALSE,,10297,902120
2720000,0.000301512,0.454880295,0.000273799,0.000273799,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",a4095581bfc3f9140669023861155579,0.50092081,2470000,31,8915760000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.679747842,0.967616553,0.823682198,0.967616553,FALSE,,10544,902120
3340000,0.000370239,0.407284768,0.000272691,0.000272691,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000282455.1 Pseudomonas sp. GM74 strain=GM74, GM74.fsa",e88995f521fa37fd57c6c9a619814c61,0.552980132,2460000,32,8913300000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.686427048,0.972183112,0.82930508,0.972183112,FALSE,,10790,902120
2450000,0.000271582,0.49796748,0.000271582,0.000271582,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_014523665.1 Nitrososphaerales archaeon TH526 strain=TH526, ASM1452366v1",c9afb3c29b57032ca9dad86e72de7191,0.49796748,2450000,33,8910850000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.676372277,0.967344127,0.821858202,0.967344127,FALSE,,11035,902120
3130000,0.00034696,0.249488753,0.000270474,0.000270474,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_008704715.1 Streptomyces chartreusis strain=ATCC 14922, ASM870471v1",b04b30b97e0d64b8b4f546e57229f6f9,0.3200409,2440000,34,8908410000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.684307705,0.947192731,0.815750218,0.947192731,FALSE,,11279,902120
3110000,0.000344743,0.191540303,0.00026604,0.00026604,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_016862795.1 Dactylosporangium siamense strain=NBRC 106093, ASM1686279v1",1656b8c784cc5d5a2443eaf6aace069f,0.24820431,2400000,35,8906010000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.684098851,0.935796456,0.809947653,0.935796456,FALSE,,11519,902120
2810000,0.000311488,0.22697056,0.000264931,0.000264931,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_021413675.1 Deltaproteobacteria bacterium, ASM2141367v1",f3466adb3cdd7de91e98b51062ba5559,0.2668566,2390000,36,8903620000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.680802353,0.939030941,0.809916647,0.939030941,FALSE,,11758,902120
2380000,0.000263823,0.412173913,0.000262714,0.000262714,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000161455.1 Bacillus pseudomycoides DSM 12442 strain=DSM 12442, ASM16145v1",613fe92b4266dba28f78ed6db4705f29,0.413913043,2370000,37,8901250000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.675439285,0.958865243,0.817152264,0.958865243,FALSE,,11995,902120
2760000,0.000305946,0.496842105,0.000261606,0.000261606,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_001750725.1 Enterobacter ludwigii strain=EN-119, ASM175072v1",c28eaaec2798f92cb86c5a3690558e2b,0.581052632,2360000,38,8898890000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.680220554,0.974478284,0.827349419,0.974478284,FALSE,,12231,902120
2560000,0.000283776,0.235294118,0.000257172,0.000257172,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_019637195.1 Labilithrix sp., ASM1963719v1",b767cf5da9d56f6ebae069211a5dccff,0.259634888,2320000,39,8896570000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.677788317,0.937804962,0.807796639,0.937804962,FALSE,,12463,902120
2500000,0.000277125,0.58,0.000257172,0.000257172,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_900142065.1 Agromyces cerinus subsp. cerinus strain=DSM 8595, IMG-taxon 2698536811 annotated assembly",0fe7c4e708c579c3b8f5b7adac0a7416,0.625,2320000,40,8894250000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.677023283,0.977867474,0.827445379,0.977867474,FALSE,,12695,902120
2630000,0.000291535,0.220306513,0.000254955,0.000254955,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_016793465.1 Myxococcales bacterium, ASM1679346v1",d6c616f3cd251c3eceb3884b71dbcc20,0.251915709,2300000,41,8891950000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.678659563,0.936458089,0.807558826,0.936458089,FALSE,,12925,902120
2320000,0.000257172,0.452191235,0.000251629,0.000251629,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000007145.1 Xanthomonas campestris pv. campestris str. ATCC 33913 strain=ATCC 33913, ASM714v1",a546aeed83e9234329158c819f6603b3,0.462151394,2270000,42,8889680000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.674618537,0.963911909,0.819265223,0.963911909,FALSE,,13152,902120
2480000,0.000274908,0.298291721,0.000251629,0.000251629,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_900455735.1 Rhodococcus wratislaviensis strain=NCTC13229, 55312_C01",73ff04301143894ca5b02f239cf6a443,0.325886991,2270000,43,8887410000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.676764382,0.948009557,0.812386969,0.948009557,FALSE,,13379,902120
2510000,0.000278233,0.199821588,0.000248304,0.000248304,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_021631985.1 Sandaracinus amylolyticus strain=MSr10575, ASM2163198v1",740ca8ae684fda6e075bd786df5b4b29,0.223907226,2240000,44,8885170000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.677151995,0.931216928,0.804184462,0.931216928,FALSE,,13603,902120
2900000,0.000321465,0.242622951,0.000246087,0.000246087,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_011526095.1 Myxococcales bacterium, ASM1152609v1",61a240fd40ee0ff38f813830983ce3b7,0.316939891,2220000,45,8882950000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.681825175,0.946753666,0.814289421,0.946753666,FALSE,,13825,902120
2700000,0.000299295,0.179153094,0.00024387,0.00024387,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_019704555.1 Actinoplanes sp. L3-i22 strain=L3-i22, ASM1970455v1",dcfbeb80352ce397a0b9139651fbb08f,0.219869707,2200000,46,8880750000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.679508998,0.930410371,0.804959685,0.930410371,FALSE,,14045,902120
2550000,0.000282667,0.237417943,0.000240544,0.000240544,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_000423665.1 Solirubrobacter soli DSM 22325 strain=DSM 22325, ASM42366v1",b1841ef68c4edc78ec7b6d5c8153fe40,0.278993435,2170000,47,8878580000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.677662005,0.941021863,0.809341934,0.941021863,FALSE,,14262,902120
2410000,0.000267148,0.516826923,0.000238327,0.000238327,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_001422645.1 Arthrobacter sp. Leaf69 strain=Leaf69, Leaf69",cd02a1b00acef24790c4ddcfd157f948,0.579326923,2150000,48,8876430000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.675842297,0.974340271,0.825091284,0.974340271,FALSE,,14477,902120
2750000,0.000304837,0.190771961,0.000238327,0.000238327,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_014202315.1 Thermocatellispora tengchongensis strain=DSM 45615, ASM1420231v1",cefdcab8ed250099e1160d7f4956e58f,0.244010648,2150000,49,8874280000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.680102991,0.935037415,0.807570203,0.935037415,FALSE,,14692,902120
